Province/ Territory,City,Dataset Name,Link to Dataset,Link to Dataset License,Attribution Statement (if provided),License Title  (if provided),Date last updated as of date of download,,,,,
AB,Banff,Business Licences,https://maps.banff.ca/opendata/,https://banff.ca/881/Open-Data,Contains information licensed under the Open Government Licence - Banff,,1/5/2018,,,,,
AB,Calgary,Calgary Business Licences,https://data.calgary.ca/Business-and-Economic-Activity/Calgary-Business-Licences/vdjc-pybd,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,Open Government Licence -  City of Calgary,..,,,,,
AB,Chestermere,Businesses,https://data-chestermere.opendata.arcgis.com/datasets/businesses-2/explore?location=51.036600%2C-113.824000%2C13.01&showTable=true,https://www.chestermere.ca/DocumentCenter/View/13563/OPEN-DATA-LICENCE,Contains information licensed under the Open Data License - City of Chestermere.,Open Government Licence -  City of Calgary,1/26/2021,,,,,
AB,Edmonton,City of Edmonton - Business Licenses,https://data.edmonton.ca/Sustainable-Development/City-of-Edmonton-Business-Licenses/qhi4-bdpu,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information licensed under the Open Government Licence - City of Edmont,,11/16/2021,,,,,
AB,Strathcona County,Business Directory,https://data.strathcona.ca/Business-Economy/Business-Directory/mbdk-4nqc/data,https://open.canada.ca/en/open-government-licence-canada,Contains information licensed under the Open Government Licence - Canada.,Open Government Licence - Canada,11/13/2021,,,,,
BC,Burnaby,Business Licences,https://data.burnaby.ca/pages/open-government-licence,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence - British Columbia.,,9/14/2021,,,,,
BC,Chilliwack,Business Licenses,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=142,https://www.chilliwack.com/main/page.cfm?id=2391,,,..,,,,,
BC,Delta,Business Licences,https://www.delta.ca/your-government/municipal-information/open-data-catalogue,https://www.delta.ca/your-government/municipal-information/open-data/open-data-government-license,Contains information licensed under the Open Government Licence - Delta.,Open Government Licence - Delta,..,,,,,
BC,Kelowna,Business Licence,https://opendata.arcgis.com/datasets/f2c521d63ecc46e3a704f38ad79fbbbc_8.geojson,http://apps.kelowna.ca/images/opendata/opengovernmentlicence.pdf,Contains information licensed under the Open Government Licence - City of Kelowna,Open Government License of Kelowna,8/11/2021,,,,,
BC,Langley,Business Licenses,https://data-tol.opendata.arcgis.com/datasets/business-licenses/explore?location=49.097898%2C-122.569883%2C11.00,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,Contains information licensed under the Open Government License - Township of Langley.,Open Government License - Township of Langley,11/17/2021,,,,,
BC,Maple Ridge,Business Licences,https://opengov.mapleridge.ca/datasets/business-licences/explore?location=49.235000%2C-122.545000%2C11.76&showTable=true,https://opengov.mapleridge.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence - Maple Ridge,Open Government Licence - Maple Ridge,8/10/2021,,,,,
BC,N/A,BC Indigenous Business Listings,https://catalogue.data.gov.bc.ca/dataset/bdc81d33-1ab5-4882-9764-8701e8971bb7/resource/f805f66e-8294-4f8d-bdd9-2400eb3938d0/download/bcindigenousbusinesslistings.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence - British Columbia,,..,,,,,
BC,N/A,Licensed Establishments in B.C.,https://catalogue.data.gov.bc.ca/dataset/2b71813e-fb00-4a8a-a60e-a67a46c81d2d/resource/df13ab03-8e5d-44c6-a3be-b29cb7756877/download/weball2017-11-21.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence - British Columbia,,..,,,,,
BC,N/A,BC Winery Locations,https://catalogue.data.gov.bc.ca/dataset/1d21922b-ec4f-42e5-8f6b-bf320a286157/resource/ba973b76-072e-4e68-94b7-b7501a9438b5/download/webwinery2017-11-21.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence - British Columbia,,..,,,,,
BC,Nanaimo,Business Licenses,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/BusinessLicences,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Contains information licenced under the Open Government Licence - Nanaimo,Open Government Licence - Nanaimo,..,,,,,
BC,New Westminster,Business Licenses (Childcare),https://opendata.newwestcity.ca/datasets/newwestcity::business-licenses-childcare/explore,https://opendata.newwestcity.ca/pages/terms-of-use,Contains information licenced under the Open Government Licence - City of New Westminster.,Open Government Licence,..,,,,,
BC,New Westminster,Business Licenses (Active - Resident),https://opendata.newwestcity.ca/datasets/business-licenses-residents/explore,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,11/4/2021,,,,,
BC,New Westminster,Business Licenses (All),http://opendata.newwestcity.ca/datasets/business-licenses-all,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,Open Government Licence - City of New Westminster,11/4/2021,,,,,
BC,New Westminster,Business Licenses (New this Year),https://opendata.newwestcity.ca/datasets/business-licenses-new-this-year/explore,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,11/4/2021,,,,,
BC,New Westminster,Business Licenses (Inter-Municipal),https://opendata.newwestcity.ca/datasets/business-licenses-intermunicipal/explore,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,11/4/2021,,,,,
BC,New Westminster,Business Licenses (Non-Residents),https://opendata.newwestcity.ca/datasets/business-licenses-nonresidents/explore,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,11/4/2021,,,,,
BC,Port Moody,Business Directory,https://data.portmoody.ca/datasets/16ebf34b002d41b4b207d167f75ef08f_0/explore?location=49.289213%2C-122.854153%2C13.83,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,Contains information licensed under the Open Government Licence - Port Moody.,Version 2.0 of the Open Government Licence - British Columbia,11/17/2021,,,,,
BC,Port Moody,Business Licenses,https://data.portmoody.ca/datasets/b82634bcf4b247cebaa3096a487ba6f8_0/explore,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,Contains information licensed under the Open Government Licence - Port Moody.,,11/11/2021,,,,,
BC,Prince George,Business License,https://data-cityofpg.opendata.arcgis.com/datasets/business-license-1/explore,https://pgmapinfo.princegeorge.ca/opendata/CityofPrinceGeorge_Open_Government_License_Open_Data.pdf,Contains information licensed under the Open Government License - City of Prince George.,Open Government Licence - Nanaimo,11/17/2021,,,,,
BC,Squamish,Business License Annual 2021,https://data.squamish.ca/datasets/squamish::business-licence-annual-2021/,https://squamish.ca/discover-squamish/maps-and-data/open-data/,Contains information licensed under the Open Government Licence - Squamish,,11/15/2021,,,,,
BC,Surrey,Business Licenses,https://data.surrey.ca/dataset/business-licences,https://data.surrey.ca/pages/open-government-licence-surrey,Contains information licensed under the Open Government License - City of Surrey.,,10/13/2021,,,,,
BC,Township of Langley,Business Licenses,https://data-tol.opendata.arcgis.com/datasets/business-licenses,https://www.tol.ca/opengovlicense,Contains information licensed under the Open Government License - Township of Langley.,,..,,,,,
BC,Vancouver,Business licences,https://opendata.vancouver.ca/explore/dataset/business-licences/information/?disjunctive.status&disjunctive.businesssubtype,https://opendata.vancouver.ca/pages/licence/,Contains information licensed under the Open Government Licence - Vancouver.,,11/18/2021,,,,,
BC,Vancouver,Business licences 1997 to 2012,https://opendata.vancouver.ca/explore/dataset/business-licences-1997-to-2012/information/?disjunctive.status&disjunctive.businesssubtype,https://opendata.vancouver.ca/pages/licence/,Contains information licensed under the Open Government Licence - Vancouver.,,3/5/2020,,,,,
BC,Victoria,Business Licences - Past 5 Years,https://opendata.victoria.ca/datasets/VicMap::business-licences-past-5-years/explore?location=48.427948%2C-123.358200%2C14.81,https://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence - City of Victoria,,..,,,,,
BC,Victoria,Business Licences Issued Past 10 Years (2011-2020),https://opendata.victoria.ca/datasets/business-licences-issued-past-10-years-2011-2020/explore,https://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence - City of Victoria.,,2/12/2021,,,,,
BC,Victoria,Business Licences - Current Year,https://opendata.victoria.ca/datasets/business-licences-current-year/explore?location=48.427800%2C-123.358200%2C13.67,https://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence - City of Victoria.,,8/11/2021,,,,,
MB,Winnipeg,Business Licenses,https://data.winnipeg.ca/Neighbourhood-Liveability-Property-Standards-Licen/Business-Licenses/d5k3-sfzx,https://data.winnipeg.ca/open-data-licence,Contains information licensed under the Open Government Licence - Winnipeg.,Open Government Licence - Canada,11/1/2021,,,,,
NB,Moncton,Grocery stores,https://open.moncton.ca/datasets/grocery-stores/explore?location=46.089028%2C-64.771766%2C12.79&showTable=true,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAwaCXVzLWVhc3QtMSJHMEUCIQD4OImUnBbQKt7fZxWv7W%2B6Ll0XjtmL3AJFM2MgqBEWPQIgAzcTJ%2FZGwLoVaxScWIa8Sp8k3JLeFgbc7TDun%2BxNJiwqgwQIxP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDFaxpYcL1tc8NXa24irXA3PowJXr4ouiYvG0dCqHGbt0I4WJFf6cZaNkaY%2BN8D11SK8%2BefibeqQtIh3Vbm5M4rK0FpVgqOdlIqHi3A%2FBlys7iqKsTXSPlU0aI1b9vxLxDChYI4a9FFLv%2FifmtnLS84fmbf1HDVBRy5CIEzGNZhFL%2FRYinnmqOA1WrTdsDZtRJebU3iVAlRSBE%2B4ZFLGnmyejK6G8R2wA4jfI380x8c92oqz1gBaXAxpZRBTTYx2JvwwJFh0vwgGWY9WBpprFORFfILvOHYfGUVjucs1jzD3Ns4B5A%2FZ84ikRUQisC7towimIKF8R%2F3tBfHVImuKreqT3Vnk5oACFrjkGRJk8F4gJrjUNgKiEWbx2PPM6ER9SbJPcRijS9RaxG5VrQTeA4yhIUNxBcMd4SLkcBsLMTf4SAI7RxouJ%2Bv4jQAchSvu%2Bv4UCGobhKeu3ywfR5NFf7HFj3k78Ach%2Bsgqv2dDMeHVgUguHQwb%2BzgnyXe5EPfn9dNT5O4rjry%2BPnsDpTdRnA%2B98ruE7%2BrJP0ODPql4IzAPUE79BlUwr5MkEtgJPmbBtfvDnpk63fXLUoXL3Ifzs35OExv5Rkjk6Tc%2FWfs1STi0TksF9UTpeDKyYTW%2Fv13z6qXoLA1LPIjCZy9qMBjqlAWmFyJvYgkmrxwrcmJ1IjWo2yuzazKK%2F1wqwwJHiDn0Z8oq1k%2FcxbCKaO9v4bw5i6HBAANQR0Ds%2BGYhhu%2FK2C8N3sg4bxlfPI1zcBKyRL1ILBQ7J5MPSY4msMEnvGuFmJ8XecSWgKzcBEIdSSUWpcEyQiyg5reVVCEr%2F8DnpdAHspHZqIu8O1uldDuzl11VinPZUcdbOgTeZAn4jIPqAVBd6o8YpUA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20211118T204142Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE6PXCSKHH%2F20211118%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=68ce5006077d3f204724edbd917e13fabdd01748d36d04b7abc01ce236d3ad01,,,3/23/2020,,,,,
NB,Moncton,Pharmacies,https://open.moncton.ca/datasets/pharmacies/explore?location=46.092990%2C-64.785448%2C12.68&showTable=true,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAwaCXVzLWVhc3QtMSJIMEYCIQCAdW%2Bag2UJXkrHPQH%2BrLi%2FNNPneGBq%2BkOzIFdY%2By%2FqyAIhAMEdtTZ2pqazx8FE7lsk3tvIMwSKdZxeBJ97AQEAks3tKoMECMX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQABoMNjA0NzU4MTAyNjY1IgxK%2BkPSVpdRdQEV%2Fcwq1wMoLNv5Oqpdi%2BKbtXaVqt5PVe%2BNuO74Dku8vxIWorVwOVkhHLw1j9xlXFhYEoHVXnbdfjXdpO1JE4xaPUpv7P5wIP3epNOsiPDz2lyZaVgbGciBx3KyqJ%2B3CMuO5%2BqJlFfU3a2OsdI5RKRZMOD6rZmMs8wCtUfEYW3XfDjcc3fQEnMRvBsW9ACh4HTWlyHU7D1%2FWA1NlappMu0qFuSYm9nQfcXY9EmDSsS4aEDIyDeVGOGjS3LNaqzsDQqx82eAFZnd1v7%2BGBO0182Ik9I5Zbqo1jN1VZPfRN284rqCAsU95zo%2BP21NGNKLAnIU0xcTPd3b9%2BVBdzs3IUbF6ZaMqGZgBUt9ctBLFNppDSCQb4bNrWgcs%2FtHRqLK4Nd57w1FGFmpAq87yaTFY19ocm%2Bu0gGOAk0aeu1ihws4QtY%2B12%2BmHdsyy9E%2BYjO8hOp%2Bc4utSUExjTLcaGydxCxchveYlZ9GhiKqWiFLqutWQhZNL%2BwbEb04UPS0J%2FGH5csPeq7GHz7YRwAuQ27BiVDB3V4SIqDbflvCqhhkv7I4Qi79gmseXewGKnu4rDjWQdk5HCrddYxmADLwHxtYuDiJCHeZmSGgk1%2FUs9WYx1jS%2F%2FIQBBfy3b96SOJYKmkw9t7ajAY6pAFgjdaIMyNTraXpqkja443w0r6BKp9VtaIHgc9mrxl4i5XypAVYBHXvbtQKpAnc7u74ShGfBfkQI1eJMKsFf4ofaeN5qkkLLKiU6w2edrtIbArcB5RT1pbHigE7%2F7z2tr7dWoBXyEC8UmdDMjO6jxYKEQMs0FEATg3X%2FwxFhWKdP9kecXRzZWh%2BqkukycGH9qbyHzkd2I%2BQtXxMAHKOR2PTQrom1g%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20211118T204555Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKERCR5V7F5%2F20211118%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1031a04a5935401192056b030c256cfda974db29d168ca94628ae49000d13d83,,,3/19/2020,,,,,
NB,Saint John,Grocery Stores,https://catalogue-saintjohn.opendata.arcgis.com/datasets/grocery-stores/explore?location=45.278564%2C-66.049994%2C12.00&showTable=true,,Contains information licensed under the Open Government Licence - City of Saint John ,,5/25/2020,,,,,
NT,Yellowknife,Business Directory,https://www.yellowknife.ca/en/doing-business/doing-business-open-data.aspx,https://www.yellowknife.ca/en/discovering-yellowknife/resources/geomatic_services/City_of_Yellowknife_Open_Data_LIcence__Terms_of_Use.pdf,Contains public sector Datasets made available under the City of Yellowknife's Open Data License v.1,,..,,,,,
ON,Ajax,Business Directory,https://opendata.ajax.ca/datasets/DurhamRegion::business-directory/explore?location=44.129582%2C-78.898350%2C9.00,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector Information made available under the Regional Municipality of Durham's Open Data Licence,The Regional Municipality of Durham's Open Data Licence,11/30/2021,,,,,
